,runid,N,E,m,B,H,rocauc,entropy,ccm,ccM,bias1,bias2,bias1_towards,bias2_towards,pseeds,crawled,supernode,pseeds_,ntours,mean_length_tour,min_length_tour,max_length_tour,mean_length_tour_0,mean_length_tour_1,b0,b1,h00,h11,h01,h10,B0,B1,H00,H11,H01,H10,h,precise_pseeds
0,1,2000,7984,4,0.1,0.8,0.7983516483516483,0.23386495363228396,0.13076923076923075,0.9124423963133641,0.12535254340956198,-0.749294913180876,majority,majority,0.4,585,200,,100,12.17,1,52,12.626373626373626,7.555555555555555,0.91,0.09,0.9,0.02,0.07,0.01,0.9,0.1,0.88,0.02,0.08,0.02,0.9,0.39
1,1,2000,78400,40,0.3,0.2,1.0,0.0006522917861787493,0.996996996996997,1.0,0.4992481203007519,-0.0015037593984962624,unbiased,unbiased,0.4,565,200,,100,10.69,1,45,9.931506849315069,12.74074074074074,0.65,0.35,0.06,0.19,0.5,0.26,0.7,0.3,0.04,0.21,0.49,0.26,0.25,0.38
2,1,2000,39600,20,0.3,0.8,1.0,0.006197133311879021,0.982051282051282,0.9988532110091743,0.4957590259861712,-0.008481948027657664,unbiased,unbiased,0.4,538,200,,100,10.14,1,47,10.342465753424657,9.592592592592593,0.72,0.28,0.69,0.13,0.13,0.05,0.7,0.3,0.64,0.17,0.13,0.06,0.81,0.37
3,1,2000,39465,20,0.3,1.0,1.0,-2.886204584442095e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,622,200,,100,11.73,1,61,12.15625,10.972222222222221,0.68,0.32,0.68,0.32,0.0,0.0,0.7,0.3,0.7,0.3,0.0,0.0,1.0,0.41
4,1,2000,39409,20,0.1,1.0,1.0,-1.1268546494868784e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,531,200,,100,9.87,1,47,10.255555555555556,6.4,0.92,0.08,0.05,0.95,0.0,0.0,0.9,0.1,0.1,0.9,0.0,0.0,1.0,0.37
5,1,2000,78400,40,0.1,0.5,0.471548513871903,0.4616765522574276,0.19672131147540983,0.7954735959765298,0.1982688179488955,-0.603462364102209,majority,majority,0.3,485,200,,100,9.11,1,39,9.086021505376344,9.428571428571429,0.89,0.11,0.02,0.76,0.12,0.1,0.9,0.1,0.01,0.8,0.1,0.09,0.81,0.34
6,1,2000,7984,4,0.3,0.5,0.5117123729928608,0.43067266910825086,0.33241758241758246,0.6618625277161863,0.33432991269719714,-0.3313401746056057,majority,majority,0.4,534,200,,100,11.31,1,66,12.375,9.416666666666666,0.68,0.32,0.47,0.09,0.23,0.21,0.7,0.3,0.48,0.09,0.21,0.22,0.57,0.37
7,1,2000,39600,20,0.5,0.5,0.5167721945305133,0.9060608057839944,0.5157342657342657,0.5096322241681261,0.502975541733727,0.005951083467454116,unbiased,unbiased,0.4,657,200,,100,12.58,1,78,11.688888888888888,13.309090909090909,0.5,0.5,0.24,0.26,0.24,0.26,0.5,0.5,0.24,0.26,0.24,0.26,0.5,0.43
8,1,2000,39600,20,0.1,0.3,0.9816332659135673,0.06840625330724975,0.8118811881188119,0.9785905441570026,0.4534454096557304,-0.09310918068853925,majority,majority,0.4,578,200,,100,11.63,1,47,11.393258426966293,13.545454545454545,0.87,0.13,0.49,0.02,0.1,0.4,0.9,0.1,0.58,0.01,0.09,0.32,0.59,0.39
9,1,2000,78400,40,0.5,0.6,0.23075049212598425,0.8861754903094059,0.3165354330708662,0.36875,0.46190305206463195,-0.07619389587073606,majority,majority,0.4,525,200,,100,9.91,1,44,11.956521739130435,8.166666666666666,0.5,0.5,0.29,0.3,0.2,0.21,0.5,0.5,0.3,0.3,0.2,0.2,0.6,0.36
