,runid,N,E,m,B,H,rocauc,entropy,ccm,ccM,bias1,bias2,bias1_towards,bias2_towards,pseeds,crawled,supernode,pseeds_,ntours,mean_length_tour,min_length_tour,max_length_tour,mean_length_tour_0,mean_length_tour_1,b0,b1,h00,h11,h01,h10,B0,B1,H00,H11,H01,H10,h,precise_pseeds
0,1,2000,39454,20,0.1,1.0,1.0,-7.4345290043018e-07,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,576,200,,100,11.0,1,41,11.512195121951219,8.666666666666666,0.86,0.14,0.14,0.86,0.0,0.0,0.9,0.1,0.1,0.9,0.0,0.0,1.0,0.39
1,1,2000,78400,40,0.1,0.1,0.9989443093529446,-4.7593566445918266e-07,1.0,0.9868928296067849,0.5032984090027163,0.006596818005432654,unbiased,unbiased,0.3,438,200,,100,9.39,1,46,9.641975308641975,8.31578947368421,0.79,0.21,0.16,0.02,0.18,0.65,0.9,0.1,0.27,0.01,0.09,0.63,0.28,0.32
2,1,2000,39481,20,0.5,1.0,0.5010764262648009,-3.103145731686155e-06,1.0,0.0,1.0,1.0,minority,minority,0.3,453,200,,100,10.12,1,38,8.666666666666666,10.263736263736265,0.11,0.89,0.97,0.03,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.33
3,1,2000,78400,40,0.1,0.1,0.9998888024018682,-5.55546737189962e-07,1.0,0.9889173060528559,0.5027861123017574,0.00557222460351481,unbiased,unbiased,0.4,558,200,,100,12.47,1,82,12.725274725274724,9.88888888888889,0.83,0.17,0.15,0.01,0.1,0.73,0.9,0.1,0.24,0.01,0.09,0.66,0.25,0.38
4,1,2000,78400,40,0.3,0.2,1.0,0.00012628801141071564,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,598,200,,100,11.2,1,66,9.647058823529411,12.816326530612244,0.61,0.39,0.17,0.07,0.27,0.5,0.7,0.3,0.21,0.04,0.26,0.49,0.25,0.4
5,1,2000,77836,40,0.3,1.0,1.0,-1.978797679428261e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,572,200,,100,10.71,1,44,14.131578947368421,8.612903225806452,0.54,0.46,0.57,0.43,0.0,0.0,0.7,0.3,0.3,0.7,0.0,0.0,1.0,0.39
6,1,2000,7984,4,0.5,0.2,0.9821876999991391,0.0808166121811901,0.9177330895795247,0.9042386185243328,0.5037032603182504,0.0074065206365008145,unbiased,unbiased,0.4,616,200,,100,13.48,1,59,1.0,13.606060606060606,0.44,0.56,0.12,0.09,0.37,0.43,0.5,0.5,0.1,0.1,0.4,0.4,0.2,0.41
7,1,2000,78400,40,0.1,0.3,0.9914942406143344,0.04280980460809328,0.8333333333333334,0.9803754266211604,0.45946369766347817,-0.08107260467304372,majority,majority,0.4,532,200,,100,10.19,1,43,9.2,14.15,0.86,0.14,0.53,0.02,0.1,0.35,0.9,0.1,0.63,0.01,0.09,0.27,0.64,0.37
8,1,2000,39600,20,0.3,0.4,0.9124397139531016,0.222981252334743,0.75,0.869615832363213,0.46307277628032345,-0.0738544474393531,majority,majority,0.4,633,200,,100,11.72,1,52,15.548387096774194,10.0,0.65,0.35,0.1,0.35,0.31,0.23,0.7,0.3,0.08,0.4,0.3,0.22,0.48000000000000004,0.42
9,1,2000,7977,4,0.5,1.0,0.6000240711669284,-3.3446597274275565e-06,1.0,0.034871794871794926,0.9663032705649157,0.9326065411298314,minority,minority,0.3,335,200,,100,9.0,1,51,9.0,9.0,0.05,0.95,0.03,0.97,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.27
10,1,2000,39600,20,0.1,0.5,0.45803878147801147,0.25300721351855215,0.10169491525423724,0.8333333333333334,0.1087613293051359,-0.7824773413897282,majority,majority,0.3,488,200,,100,9.23,1,55,8.296296296296296,13.210526315789474,0.88,0.12,0.01,0.78,0.1,0.11,0.9,0.1,0.01,0.8,0.09,0.09,0.81,0.34
